superevent_id,preferred_event,t_0,pipeline,search,group,far,skymap
S250718dt,G581922,1436903226.027832,pycbc,AllSky,CBC,1.811962923597173e-05,./skymaps/G581922_skymap.fits
S250718cl,G581863,1436894232.145996,pycbc,AllSky,CBC,1.761725646539185e-05,./skymaps/G581863_skymap.fits
S250718cf,G581856,1436892506.573808,MBTA,AllSky,CBC,9.206308e-06,./skymaps/G581856_skymap.fits
S250718br,G581819,1436886831.329116,gstlal,AllSky,CBC,1.603495199764708e-05,./skymaps/G581819_skymap.fits
S250718bc,G581792,1436880567.184331,gstlal,AllSky,CBC,1.374293880893851e-05,./skymaps/G581792_skymap.fits
S250718as,G581761,1436865353.138794,gstlal,AllSky,CBC,1.767244209811699e-05,./skymaps/G581761_skymap.fits
S250718aq,G581745,1436863151.40332,gstlal,AllSky,CBC,1.533771066950083e-05,./skymaps/G581745_skymap.fits
S250718af,G581714,1436854136.598753,gstlal,AllSky,CBC,2.187155052577087e-05,./skymaps/G581714_skymap.fits
S250718m,G581654,1436837716.770264,gstlal,AllSky,CBC,1.372084247868107e-06,./skymaps/G581654_skymap.fits
S250718k,G581650,1436835971.546297,MBTA,AllSky,CBC,1.988457e-05,./skymaps/G581650_skymap.fits
S250717ac,G581511,1436786937.386719,pycbc,AllSky,CBC,7.963210247401041e-07,./skymaps/G581511_skymap.fits
S250717x,G581496,1436778082.026245,gstlal,AllSky,CBC,4.440003603886418e-07,./skymaps/G581496_skymap.fits
