mass_1_source,mass_2_source,redshift,luminosity_distance,theta_jn,ra,dec,psi,phase,geocent_time,a_1,a_2
1.3123915551283518,1.2541480789106192,1.2731320462805256,9146.157500534386,0.05467455620889588,2.733444685614513,0.2783456547712718,2.7460029761956593,0.4107392502313844,1585960202.7454512,0.0,0.0
1.4524443138856757,1.405900510372664,2.7292773092812728,23218.99284578216,0.05341886888136513,2.196242791788269,-0.646951343287495,0.2857569591065319,0.25967325886687354,1582693689.5686774,0.0,0.0
1.3513696858521886,1.315847051869975,1.6222873969114304,12324.70192831706,0.057377997401684075,5.546390278979542,0.17684520119397232,1.8368627788200063,4.552975630486775,1578114421.625209,0.0,0.0
1.3597090518050607,1.2863197386949057,1.6867977955082545,12928.880621436432,0.09124501636540054,0.9401044611034439,0.05233815201701117,2.7477680321510767,5.128528967330206,1578624560.2855115,0.0,0.0
1.3135920992053816,1.1697464620973246,0.6695937024874354,4153.76218616729,0.09065864951330536,2.0633662024089925,0.5058383526581572,1.768584063546709,5.5018787982748565,1589120225.031659,0.0,0.0
1.3334182820256464,1.27030931028376,0.4843323370148562,2810.6211458750645,0.08786672829775231,6.039171596084243,0.4269955672676173,3.1169728476667857,2.086274623432204,1606005781.5692835,0.0,0.0
1.30221573892991,1.2474219623681653,1.0850844087343012,7510.295938203469,0.041479456144392864,0.35637850837819945,-0.32384494883035025,0.36839051059674915,2.607218031600513,1587960089.850742,0.0,0.0
1.3558692847261118,1.338878638180318,1.6760914088757146,12828.281335639207,0.05617768513875956,0.05529993622689489,0.06848443027510857,2.4860767245754807,5.0723684797869435,1577608604.4122477,0.0,0.0
1.4541912541171884,1.2511712365367906,1.7113329153532453,13159.898272688113,0.07100895091273943,0.9537348465016121,0.3761573696523372,1.9821952303556614,2.5162811004159105,1592497295.6969578,0.0,0.0
1.446566251556519,1.2752785732650294,3.270790237349771,28853.137126528112,0.024635233616205954,3.7101776812387435,0.9138519002372298,0.22270123504773512,3.0360441185025397,1591744595.150287,0.0,0.0
1.4184329962799194,1.4060122846899215,1.3205624034837906,9567.9231992243,0.024635233616205954,2.6961989757335236,0.008423522447118633,0.05774481575414873,0.8704368434584031,1594833252.4689584,0.0,0.0
1.4658721288945609,1.4467442551854994,1.4178922434356434,10443.844278046605,0.05690732641492857,3.0730290680082857,1.0079466610444596,1.8434986069284225,0.27885175653118444,1595467342.862549,0.0,0.0
1.2949812802687346,1.255727655536346,1.201099969806358,8512.425084855902,0.059339759481707,4.848050152082714,0.713952119909978,2.997484023319686,5.96960490797126,1594214753.6750169,0.0,0.0
1.363214371346671,1.334937489905346,1.8793027990072293,14758.605520543288,0.04177659529631758,1.5992803177565587,1.240054918219627,2.2647577478673635,3.7873222916860794,1580451864.8710985,0.0,0.0
1.2905448303180536,1.265168509021562,0.923966182032684,6161.253826268474,0.06601730893215975,2.6672188466851323,0.048313430382938435,0.3083218640272623,4.6307898262414176,1580883385.2473974,0.0,0.0
1.4614014715422783,1.4234959328961603,2.1568309889537423,17459.070051325485,0.04269389724313033,2.4217603558871645,-0.038638923949474636,2.150380606845096,3.8399004752304684,1608539504.932398,0.0,0.0
