network_SNR redshift mass_1 mass_2 luminosity_distance theta_jn ra dec psi phase geocent_time a_1 a_2 err_mass_1 err_mass_2 err_luminosity_distance err_theta_jn err_dec err_ra err_psi err_phase err_geocent_time err_a_1 err_a_2 err_sky_location
39.616201828057974 9.349E-02 2.005E+00 1.803E+00 4.429E+02 1.946E+00 6.200E+00 4.729E-01 2.648E+00 4.906E+00 1.579E+09 6.985E-03 3.505E-03 3.700E-04 3.204E-04 8.013E+01 1.576E-01 1.164E-02 1.956E-02 1.421E-01 2.775E-01 3.797E-04 6.761E-01 7.698E-01 6.295E-04
109.61184133050745 3.512E-02 1.959E+00 1.331E+00 1.597E+02 1.496E+00 3.322E+00 -2.473E-03 6.885E-03 6.421E-02 1.579E+09 6.810E-03 4.127E-02 3.420E-02 2.151E-02 1.363E+01 4.830E-03 1.175E-01 6.915E-02 3.907E-02 4.346E-02 1.190E-03 1.890E-01 2.939E-01 1.774E-02
266.20620945386094 6.653E-02 2.088E+00 1.952E+00 3.095E+02 2.467E-01 2.432E-01 -1.298E+00 1.525E+00 2.107E+00 1.600E+09 8.446E-02 3.385E-02 1.665E-04 1.513E-04 4.810E+01 4.889E-01 1.160E-01 2.496E-01 9.810E+00 1.996E+01 1.540E-03 2.032E-01 2.209E-01 1.728E-02
101.7122701498827 4.642E-02 1.193E+00 1.116E+00 2.129E+02 2.434E+00 1.396E+00 -8.559E-02 1.825E+00 5.749E+00 1.581E+09 8.765E-03 9.668E-02 9.594E-05 8.772E-05 3.629E+01 2.132E-01 1.562E-02 1.735E-02 3.248E-01 6.674E-01 3.095E-04 4.655E-01 5.051E-01 8.346E-04
84.51835742088547 8.483E-02 2.088E+00 1.445E+00 3.995E+02 1.275E+00 1.097E+00 6.751E-01 6.527E-01 4.137E+00 1.605E+09 1.525E-02 8.901E-02 6.035E-02 3.879E-02 4.244E+01 1.212E-02 1.913E-01 2.324E-01 1.624E-01 5.937E-02 2.099E-03 2.703E-01 4.086E-01 1.054E-01
308.69074119454075 2.543E-02 2.385E+00 1.847E+00 1.149E+02 3.423E-01 1.905E+00 -7.874E-01 6.785E-01 2.030E+00 1.605E+09 8.945E-02 7.663E-02 3.161E-02 2.325E-02 6.233E+00 1.404E-01 2.006E-03 2.338E-03 6.625E+00 1.324E+01 7.866E-05 1.169E-01 1.564E-01 1.036E-05
568.9407595256002 1.324E-02 2.301E+00 1.799E+00 5.926E+01 1.351E+00 3.574E+00 1.280E+00 3.067E+00 5.940E+00 1.599E+09 7.747E-02 3.812E-02 1.278E-02 9.513E-03 1.419E+00 1.461E-03 4.306E-02 8.118E-02 7.191E-02 8.196E-03 4.312E-04 4.899E-02 6.500E-02 3.128E-03
180.39186421727493 2.747E-02 1.955E+00 1.161E+00 1.243E+02 1.232E+00 5.895E+00 -4.588E-01 2.649E+00 3.958E+00 1.586E+09 7.369E-02 7.275E-02 1.517E-02 8.129E-03 4.887E+00 1.832E-02 7.725E-02 3.307E-02 3.353E-02 5.222E-02 7.222E-04 8.415E-02 1.541E-01 6.744E-03
98.97076276484911 7.303E-02 2.036E+00 1.633E+00 3.412E+02 2.081E+00 6.190E+00 6.036E-01 1.471E+00 1.717E+00 1.579E+09 8.873E-02 3.673E-02 7.663E-02 5.879E-02 4.215E+01 5.005E-02 9.292E-02 1.101E-01 4.667E-02 1.277E-01 1.353E-03 3.488E-01 4.507E-01 2.548E-02
60.56164025554619 5.184E-02 1.458E+00 1.424E+00 2.387E+02 1.559E+00 4.416E+00 1.114E+00 2.077E+00 5.958E+00 1.586E+09 1.130E-02 3.820E-02 1.055E-04 1.017E-04 1.813E+01 1.019E-02 4.658E-02 3.329E-01 3.534E-01 3.198E-02 2.137E-03 7.675E-01 7.902E-01 2.147E-02
88.60530795295658 6.274E-02 2.265E+00 1.183E+00 2.910E+02 1.613E+00 2.149E+00 4.971E-01 1.705E+00 4.218E+00 1.599E+09 9.528E-02 3.078E-02 3.705E-02 1.704E-02 2.719E+01 5.763E-03 1.384E-01 2.720E-01 1.825E-01 5.680E-02 1.916E-03 1.351E-01 2.860E-01 8.570E-02
122.00606702919227 6.240E-02 2.169E+00 1.664E+00 2.894E+02 9.249E-01 2.106E-01 1.751E-02 2.254E+00 1.934E+00 1.608E+09 3.263E-02 2.110E-02 5.540E-02 4.032E-02 1.191E+01 9.329E-02 5.043E-02 5.063E-02 1.501E-01 2.466E-01 9.306E-04 2.517E-01 3.406E-01 8.019E-03
56.40009325576238 7.708E-02 1.523E+00 1.323E+00 3.612E+02 2.364E+00 6.003E+00 1.300E-02 4.120E-03 4.969E+00 1.596E+09 8.679E-03 8.216E-02 1.395E-04 1.156E-04 1.100E+02 3.136E-01 1.411E-02 1.423E-02 5.223E-01 1.106E+00 2.953E-04 3.955E-01 4.699E-01 6.169E-04
134.35071652246913 9.684E-02 1.886E+00 1.501E+00 4.598E+02 7.666E-01 3.354E+00 -7.350E-01 7.499E-01 4.608E+00 1.584E+09 1.058E-02 2.852E-02 1.015E-04 7.446E-05 2.935E+01 4.983E-02 1.941E-01 1.783E-01 1.480E-01 1.458E-01 8.362E-04 1.145E-01 1.516E-01 7.206E-02
48.31302090824969 6.801E-02 1.792E+00 1.245E+00 3.166E+02 1.907E+00 1.903E+00 7.602E-01 4.092E-01 9.343E-01 1.588E+09 6.633E-02 9.736E-02 6.168E-02 3.985E-02 3.836E+01 7.099E-02 5.977E-02 5.046E-02 9.614E-02 1.539E-01 9.682E-04 4.278E-01 6.528E-01 6.744E-03
