dur,imx,imy,ndets,solid_angle,timeID,time,A,Epeak,gamma,nllh,bkg_nllh,TS
0.256,-0.04,-0.08,15537,15536.999999999996,28800256,785996581.25434,0.0011193539969293871,1000.0,-0.1,31.346997413405038,35.85263368880454,3.0018781705457336
0.256,-0.04,-0.08,15537,15536.999999999996,46720256,785996583.0463401,0.000492580897063422,106.87266978012991,2.0737703050262124,30.13997711955058,35.774220488781516,3.356856675293402
0.256,-0.04,-0.08,15537,15536.999999999996,47360256,785996583.11034,0.0006246103515914676,1000.0,1.7476700401100427,31.346841189836393,35.306428109965665,2.8141026705254633
0.256,-0.04,-0.08,15537,15536.999999999996,81280256,785996586.5023401,0.0017978887199822473,1000.0,0.5044377450891949,32.346053472160534,41.011049804407904,4.16293077824923
0.256,-0.04,-0.08,15537,15536.999999999996,80640256,785996586.4383401,0.0014700164859430531,1000.0,0.7674355366104918,32.02741096418426,38.07392045375232,3.477501830213195
0.256,-0.04,-0.08,15537,15536.999999999996,78720256,785996586.24634,0.0014535736201530785,1000.0,-0.1,32.6946987497145,40.066239144186085,3.839671963715543
0.256,-0.04,-0.08,15537,15536.999999999996,81920256,785996586.5663401,0.0018859619464841107,1000.0,-0.1,30.463307350485888,43.25590546057861,5.058181117772024
0.256,-0.04,-0.08,15537,15536.999999999996,82560256,785996586.6303401,0.0018882642651877524,1000.0,-0.1,31.231482441927756,44.25663292876943,5.10394954654563
0.256,-0.04,-0.08,15537,15536.999999999996,90240256,785996587.3983401,0.0037020329125404105,330.8154528048916,-0.1,31.051469025408547,40.779283016264934,4.410853430087285
0.256,-0.04,-0.08,15537,15536.999999999996,90880256,785996587.4623401,0.0036795448590924845,339.4063162038618,-0.1,30.370809610062352,40.57343671550372,4.5172175297280885
0.256,-0.04,-0.08,15537,15536.999999999996,96000256,785996587.9743401,0.0027413890149190403,484.6503179007215,-0.1,38.1585383964904,48.31668929320119,4.507360845708005
0.512,-0.04,-0.08,15537,15536.999999999996,-79360512,785996570.4383401,0.0008522929529449427,1000.0,-0.1,37.56233346910124,42.701410580696184,3.205956054469538
0.512,-0.04,-0.08,15537,15536.999999999996,-70400512,785996571.3343401,0.0010205171017111806,1000.0,0.617615219308116,34.9593775060375,40.67811300489032,3.3819330267918737
0.512,-0.04,-0.08,15537,15536.999999999996,-67840512,785996571.59034,0.0009476769761208171,1000.0,0.9025654429547658,38.95424367163562,44.51860925713705,3.335975295322622
0.512,-0.04,-0.08,15537,15536.999999999996,-40960512,785996574.2783401,0.0010375599015696722,1000.0,0.948271365804113,33.88257953634872,40.64620642591248,3.6779415138263847
0.512,-0.04,-0.08,15537,15536.999999999996,-39680512,785996574.40634,0.0012322370953108553,1000.0,0.45859466510009217,33.86766893508036,42.28329012302524,4.102589715763661
0.512,-0.04,-0.08,15537,15536.999999999996,-15360512,785996576.83834,0.0012227606401034885,1000.0,0.7078182400157986,34.39922803151241,42.82718362723466,4.105595108074407
0.512,-0.04,-0.08,15537,15536.999999999996,-14080512,785996576.9663401,0.0011375684716026725,1000.0,0.5773198844136738,34.473906049310536,41.53060433133152,3.756780079275597
0.512,-0.04,-0.08,15537,15536.999999999996,-12800512,785996577.0943401,0.0010783621922541143,826.221511763945,0.054934304176559375,32.657994524162255,38.738780073399354,3.4873444192500114
0.512,-0.04,-0.08,15537,15536.999999999996,-1280512,785996578.24634,0.0023878596266934857,1000.0,0.32759505632974595,36.99234753678991,69.19552121346345,8.025356524999191
0.512,-0.04,-0.08,15537,15536.999999999996,-2560512,785996578.11834,0.0021846471518732168,912.0531319664975,-0.1,36.22057118769188,67.06438195550578,7.854146773242005
0.512,-0.04,-0.08,15537,15536.999999999996,-5120512,785996577.8623401,0.003921368034983567,355.3354606027919,-0.1,37.47385009234745,62.647083018290076,7.095524353554517
0.512,-0.04,-0.08,15537,15536.999999999996,1280512,785996578.5023401,0.002235914147206805,811.199231406374,-0.1,36.59981337306665,64.33689368040442,7.44809778498346
0.512,-0.04,-0.08,15537,15536.999999999996,19200512,785996580.29434,0.0035292769468037223,663.9289526236805,-0.1,41.00525877864678,94.34091982156195,10.328180966938485
0.512,-0.04,-0.08,15537,15536.999999999996,16640512,785996580.0383401,0.003197873802124706,740.8771616543369,-0.1,38.24843128921961,89.62315919150232,10.1365406231399
0.512,-0.04,-0.08,15537,15536.999999999996,17920512,785996580.1663401,0.0036685891056842173,589.9171476554598,-0.1,39.0385176082235,87.99800070615224,9.895401265024955
0.512,-0.04,-0.08,15537,15536.999999999996,21760512,785996580.55034,0.00347533203030849,448.675064099652,-0.1,39.96017404572131,69.00772370372869,7.622014124627083
0.512,-0.04,-0.08,15537,15536.999999999996,25600512,785996580.93434,0.0018383840050169176,1000.0,0.14579001117987614,35.474229521206524,56.033651431097866,6.4123976654433
0.512,-0.04,-0.08,15537,15536.999999999996,23040512,785996580.6783401,0.002492772164233051,611.1814498688948,-0.1,41.383515168051495,64.99212674655732,6.871478964314134
0.512,-0.04,-0.08,15537,15536.999999999996,44800512,785996582.8543401,0.000301450182236311,101.18543889303247,2.1,33.36705888269215,38.178582042518876,3.102103531420809
0.512,-0.04,-0.08,15537,15536.999999999996,43520512,785996582.72634,0.0002532308315422128,37.75083102588655,2.0489813602633307,34.69754305594072,39.50794629563432,3.101742490824665
