time,duration,snr,timeID,dt
785996586.5663401,1.024,4.038660233427717,81921024,8.192000031471252
785996570.18234,2.048,3.0517171099752236,-81922048,-8.192000031471252
785996572.7423401,2.048,2.9720920865952123,-56322048,-5.631999969482422
785996573.25434,2.048,2.5247483821686068,-51202048,-5.120000004768372
785996578.37434,2.048,10.883111449180891,02048,0.0
785996577.8623401,2.048,10.17013173478048,-5122048,-0.5119999647140503
785996577.35034,2.048,8.919844748559704,-10242048,-1.0240000486373901
785996579.3983401,2.048,11.618574528360764,10242048,1.0240000486373901
785996578.88634,2.048,11.493002451186372,5122048,0.5119999647140503
785996579.9103401,2.048,10.06224485479446,15362048,1.5360000133514404
785996586.5663401,2.048,5.447201237597899,81922048,8.192000031471252
785996586.05434,2.048,5.400690061980809,76802048,7.679999947547913
785996585.54234,2.048,4.606435216862707,71682048,7.167999982833862
785996573.25434,4.096,3.6532641147558733,-51204096,-5.120000004768372
785996571.2063401,4.096,3.125720909343177,-71684096,-7.167999982833862
785996572.23034,4.096,3.0372681676678344,-61444096,-6.144000053405762
785996577.35034,4.096,13.795387946025084,-10244096,-1.0240000486373901
785996578.37434,4.096,12.004984891584614,04096,0.0
785996576.3263401,4.096,11.188655136124027,-20484096,-2.0479999780654907
785996584.5183401,4.096,4.771261571606202,61444096,6.144000053405762
785996585.54234,4.096,4.552196932895075,71684096,7.167999982833862
785996583.4943401,4.096,3.740731695800574,51204096,5.120000004768372
785996574.2783401,8.192,11.835013400633215,-40968192,-4.0959999561309814
785996576.3263401,8.192,11.461150613734016,-20488192,-2.0479999780654907
785996578.37434,8.192,10.024103523828954,08192,0.0
785996574.2783401,16.384,10.799291407940068,-409616384,-4.0959999561309814
785996570.18234,16.384,10.268986203186715,-819216384,-8.192000031471252
